"Evs_Au_Control_1" "Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_1" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_1" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_1" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"ANXA7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.18576872 NA NA NA 0.55955243 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GNAI2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.2961485 NA NA 1.3988328 0.733804 0.80301774 1.0137241 0.2882495 0.7139573 0.9633602 0.101539254 NA NA NA 0.23026884 NA NA 0.23026884 NA NA NA NA NA NA NA NA NA NA 0.42889392 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H1-5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.16412604 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.2647363 NA NA NA NA NA NA NA NA NA
"SFRP1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.552387 NA NA 0.33045447 NA NA 0.3614447 NA NA 0.8535316 0.22743917 NA NA NA 0.17489755 0.3708818 NA NA NA NA NA NA NA NA NA NA NA NA 0.2647363 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IGKC" NA 0.5381547 0.5381547 NA 1.2181964 1.2181964 NA 2.2658782 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5381547 1.2181964 NA 5.63743 2.2658782 NA NA 1.2181964 NA NA NA NA NA NA NA NA NA NA NA 3.4157043 2.0619633 NA 5.2230034 9 NA 7.6099377 5.2230034 NA NA NA NA NA NA NA NA NA
"P02649" NA 0.23310483 0.23310483 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.23310483 0.23310483 NA NA NA NA NA NA NA 0.36772883 0.21618605 NA NA NA 0.38675582 0.3001696 0.3001696 NA NA NA NA NA NA NA NA NA NA NA 0.2882495 0.16412604 NA 0.43879855 3.6344695 NA 2.198895 0.80301774 NA NA NA NA NA NA NA NA NA
"MARCKS" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.8793168 NA NA 0.61435854 NA 0.23026884 0.42560756 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.41579378 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Q13765" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.566751 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.80301774 NA NA NA NA NA NA NA NA NA
"H2BC12L" 0.89670587 NA NA 0.6069412 NA 0.54881656 0.6069412 1.5882127 1.5882127 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 1.5882127 0.54881656 NA 0.6069412 NA NA 0.6069412 0.54881656 1.2750974 NA NA NA NA NA NA NA NA NA NA 0.89670587 NA NA 0.6069412 0.5776112 0.89670587 0.89670587 0.89670587 0.89670587 NA NA NA NA NA NA NA NA NA
"PABPC4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.11429453 NA NA 0.29419577 0.17489755 NA NA NA NA 0.18304157 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.17760599 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H2BC14" 0.89670587 NA NA 0.6069412 NA 0.54881656 0.6069412 1.5882127 1.5882127 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 1.5882127 0.54881656 NA 0.6069412 1.8840315 NA 0.6069412 0.54881656 1.2750974 NA NA NA NA NA NA NA NA NA NA 0.89670587 NA NA 0.6069412 0.5776112 0.89670587 0.89670587 0.89670587 0.89670587 NA NA NA NA NA NA NA NA NA
"H2BC9" 0.89670587 NA NA 0.6069412 NA 0.54881656 0.6069412 1.5882127 1.5882127 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 1.5882127 0.54881656 NA 0.6069412 1.8840315 NA 0.6069412 0.54881656 1.2750974 NA NA NA NA NA NA NA NA NA NA 0.89670587 NA NA 0.6069412 0.5776112 0.89670587 0.89670587 0.89670587 0.89670587 NA NA NA NA NA NA NA NA NA
"PCYOX1" NA NA NA 0.2647363 0.18304157 0.08893013 0.2647363 NA NA NA NA NA 0.083926916 NA 0.3489629 0.633052 NA NA NA NA NA 0.40604758 NA NA NA NA NA 0.39315677 NA NA 0.7298163 0.07894671 0.17219532 0.4421153 NA 0.21059811 0.14024973 NA NA 0.10407865 NA 0.17760599 0.19398808 NA 0.1614486 NA NA NA NA NA NA 0.22743917 NA NA NA NA NA NA 0.2705741 NA NA NA NA NA NA NA NA NA NA NA NA 0.13501084 0.30617094
"C4B" NA 0.13762724 NA NA NA NA NA 0.06414306 0.061695576 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.08642566 0.096478224 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.054386854 0.054386854 NA NA 2.3806486 NA 1.831392 NA NA NA NA NA NA NA NA NA NA
"P35625" NA 0.24451458 0.2705741 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.20503592 0.24451458 0.24451458 NA NA NA NA NA NA NA 0.3001696 0.3708818 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.4190575 0.10407865 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPL30" NA NA 0.2705741 NA NA NA NA 1.228435 0.68267405 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.7498466 0.2705741 NA NA NA NA NA NA 0.7498466 NA NA NA 2.672823 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.7498466 0.7498466 NA NA NA NA NA 0.7498466 NA NA NA NA NA NA NA NA NA
"P00734" NA 0.2618276 0.21618605 NA NA NA NA NA 0.18576872 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.25892544 0.15080035 NA NA 0.4689263 NA NA NA 0.28233063 0.3001696 0.3001696 NA NA NA NA NA 0.4689263 NA NA NA NA NA NA NA NA NA NA NA 0.25892544 0.25892544 NA NA 2.6643758 NA 2.0338912 0.72186863 NA NA NA NA NA NA NA NA NA
"MYH13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.023293018 NA NA NA 0.096478224 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.023293018 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H2BC13" 0.89670587 NA NA 0.6069412 NA 0.54881656 0.6069412 1.5882127 1.5882127 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 0.89670587 1.2750974 1.2750974 1.5882127 0.54881656 NA 0.6069412 NA NA 0.6069412 0.54881656 1.2750974 NA NA NA NA NA NA NA NA NA NA 0.89670587 NA NA 0.6069412 0.5776112 0.89670587 0.89670587 0.89670587 0.89670587 NA NA NA NA NA NA NA NA NA
"P01019" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.9724227 NA 0.8281002 0.1271975 NA NA NA NA NA NA NA NA NA
"HBe1" NA 0.503142 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.34586036 0.34586036 NA NA NA NA NA NA NA NA 0.34586036 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.34586036 0.34586036 NA NA 0.6519618 NA NA NA NA NA NA NA NA NA NA NA NA
"Q05682" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.18304157 NA NA 0.18304157 0.23879659 NA NA NA NA NA NA NA NA NA
"P29279" NA 0.17219532 0.33659554 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.33659554 0.1324004 NA NA NA NA NA 0.1271975 0.22743917 NA 0.061695576 NA NA NA NA 0.21059811 NA NA NA NA NA NA NA NA NA NA NA NA 0.4190575 0.20226443 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P10599" NA 0.33045447 0.33045447 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.33045447 0.33045447 NA NA NA NA NA NA 0.7298163 NA NA NA 3.5394158 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.33045447 0.33045447 NA 0.69433784 NA NA NA NA NA NA NA NA NA NA NA NA NA
"ACAN" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.032761455 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.018591404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPL10A" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.14815366 NA NA NA NA NA NA NA 0.9724227 NA NA NA 0.5776112 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.14815366 0.14815366 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CYP19A1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.15345323 NA NA NA NA 0.04231739 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.11173177 0.04231739 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.15345323 0.04231739
"eIF2S2" NA NA NA NA NA NA NA 0.1324004 0.1324004 NA 0.071519256 NA NA NA NA NA NA NA NA NA 0.12460494 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.40281367 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.071519256 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ATP1A1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.10407865 NA 0.13762724 NA 0.72186863 NA NA NA NA NA NA NA 0.05681753 NA NA NA NA NA NA NA NA NA NA 0.15877736 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Q3MHP2" NA NA NA NA NA NA 0.37404191 NA NA NA NA NA NA NA NA 0.7498466 NA NA NA NA NA NA NA NA NA NA NA 0.98609483 NA NA NA 0.59220874 0.98609483 0.37404191 0.41579378 0.59220874 0.98609483 NA NA NA 1.3280914 0.44877183 NA NA 0.2882495 NA NA NA NA NA 0.12201846 NA NA NA NA NA NA NA 0.5417005 NA NA 0.40281367 NA NA NA NA NA NA NA NA NA 0.12201846 0.2618276
"POTeKP" NA NA NA NA 0.4190575 0.5275661 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.4190575 NA NA NA NA NA NA NA NA NA NA 0.4190575 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BCL2L14" NA NA NA NA NA 0.11943793 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.11943793 NA NA NA 0.11943793 0.11943793 NA NA NA NA 0.29717934 NA NA NA NA NA NA NA NA NA NA NA 0.11943793 0.096478224 NA NA NA NA NA 0.11943793 NA NA NA NA NA NA NA NA NA
"eRC1" NA 0.1271975 0.07646525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.08642566 0.10662377 NA NA NA NA NA NA NA 0.096478224 0.1271975 NA 0.06905484 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.061695576 0.049542427 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SePTIN11" NA NA NA NA NA NA NA NA NA NA NA 0.15877736 NA NA 0.11429453 NA NA NA NA NA NA NA NA NA NA NA NA 0.10917485 NA NA NA NA 0.22743917 NA 0.10917485 0.10917485 NA NA NA NA 0.20226443 0.11943793 NA NA NA NA NA NA NA NA NA NA NA NA 0.11943793 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.11429453 NA
"KPLCe" NA NA 0.20226443 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.07646525 0.07646525 NA NA NA NA NA 0.33045447 0.20226443 0.07646525 NA NA 0.20226443 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.20226443 0.07646525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GPD1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.096478224 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"POF1B" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.33659554 NA NA NA 1.3442287 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.47231245 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"HIVeP2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.035142183 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.025651932 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IGHM" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.7988709 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.013006 NA 1.7861211 0.4190575 NA NA NA NA NA NA NA NA NA
"OBSCN" NA NA NA NA 0.011579514 0.009252906 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.023293018 NA NA 0.016248703 NA 0.023293018 0.013911366 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IGLC1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.4771328 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.38675582 0.38675582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TUBB8B" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.21898961 NA NA 0.35831344 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"eIF1AY" NA 0.19124198 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.19124198 0.19124198 NA NA NA NA NA NA 0.29121923 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.29121923 NA 0.19124198 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CATHL3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.3708818 NA NA 0.29121923 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.62554884 0.62554884 NA 0.8113401 0.62554884 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NeFH" 0.08642566 0.11173177 NA NA 0.08642566 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.035142183 NA 0.07398939 0.044720173 0.21618605 0.061695576 0.06659615 0.25892544 0.059253693 0.08642566 NA 0.21618605 NA 0.044720173 NA NA NA 0.11686325 NA NA NA NA NA NA NA NA NA NA 0.08642566 NA 0.044720173 0.044720173 NA 0.07894671 NA 0.04231739 0.05681753 NA NA NA NA NA NA NA NA NA
"P13929" NA 0.32434154 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.07646525 NA 0.42560756 NA NA 0.47231245 NA NA 0.32434154 0.5958791 NA NA 0.47231245 NA 0.43548942 NA NA NA NA NA NA NA NA NA NA NA 0.32434154 NA 0.14815366 NA NA 0.28233063 NA 0.1614486 NA NA NA NA NA NA NA NA NA NA
"KRT31" 1.6181829 0.30316675 0.65576994 NA 0.8879913 NA NA 0.11686325 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.51356125 0.47231245 0.5417005 NA 0.2618276 NA NA 0.77010894 0.3273945 1.741574 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.3823195 NA 0.1614486 NA NA 2.2136607 1.3604782 NA NA NA NA NA NA NA NA NA NA NA
"IGKV2-29" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.52405274 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.55596566 NA 0.4689263 NA NA NA NA NA NA NA NA NA NA
"IGKV4-1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5776112 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.98609483 NA 1.2646441 NA NA NA NA NA NA NA NA NA NA
"THeMIS" NA 0.071519256 0.15080035 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.10662377 0.071519256 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.071519256 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"FRZB" NA NA NA NA NA NA NA 0.1428783 0.1428783 NA NA 0.11943793 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.1428783 0.57398295 NA NA 0.11943793 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ACLY" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5381547 NA NA 0.3335215 0.14024973 NA 0.3335215 NA 0.09900582 0.26765192 NA NA NA 0.1428783 NA 0.07646525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.12979591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"HBD" NA 1.0230191 1.5585859 NA 0.9906733 1.5585859 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.34586036 NA 0.9906733 1.5585859 NA 1.0230191 1.5585859 NA 1.5585859 0.9906733 NA NA 1.5585859 NA 1.5585859 0.9906733 NA NA NA NA NA NA NA NA NA NA NA NA 0.9906733 NA 1.5585859 2.0902956 NA 0.9906733 0.9906733 NA NA NA NA NA NA NA NA NA
"Q32Le4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.12979591 0.12979591 NA 0.12979591 0.12979591 NA 0.12979591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.46217716 0.12979591 NA NA NA NA NA 0.12979591 0.4996848 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P80012" NA NA NA 0.09395635 NA NA 0.1324004 NA NA NA NA NA NA NA NA NA NA NA 0.03038609 NA NA NA NA NA NA NA NA NA NA NA 0.12979591 NA NA 0.101539254 NA NA NA NA NA 0.09395635 NA NA NA NA NA NA 0.035142183 0.035142183 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IGHV3-21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.42661 NA 1.42661 NA NA NA NA NA NA NA NA NA NA
"PPBP" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.4154608 NA 1.3713737 NA NA NA NA NA NA NA NA NA NA
"IGLV1-51" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.42661 NA 0.3708818 NA NA NA NA NA NA NA NA NA NA
"P02776" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.22331 NA 0.7298163 NA NA NA NA NA NA NA NA NA NA
"P63104" 0.9678863 0.7579236 1.3280914 1.1627185 2.2359364 2.62243 1.4210291 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.365116 NA NA 1.9444218 2.1477482 3.497799 1.4210291 1.9174271 2.1477482 1.9174271 1.9174271 1.4434304 1.3768401 2.9445727 1.9174271 0.9678863 1.6853445 2.1768744 NA NA NA NA NA NA NA NA NA NA 1.004472 NA NA 2.908409 0.62929606 0.40281367 1.6302679 NA 1.004472 NA NA NA NA NA NA NA NA NA
"IGKV2-28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.8113401 NA 0.7100153 NA NA NA NA NA NA NA NA NA NA
"IGKV1-5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.19786 NA 0.39636838 NA NA NA NA NA NA NA NA NA NA
"IGKV1D-39" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.3334582 NA 1.0701413 NA NA NA NA NA NA NA NA NA NA
"APOL1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.38356638 NA 0.22461617 NA NA NA NA NA NA NA NA NA NA
"SAA4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.1428905 NA 1.1037784 NA NA NA NA NA NA NA NA NA NA
"IGKV1-6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.013006 NA 0.9543395 NA NA NA NA NA NA NA NA NA NA
"C1R" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.9512093 NA 0.61808 NA NA NA NA NA NA NA NA NA NA
"eIF4H" NA NA NA NA NA NA NA NA NA NA NA 0.14024973 NA NA NA NA NA NA NA 0.27350307 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.54525447 NA 0.38038433 0.14024973 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
