"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"ANXA11" 4 2 1 NA NA 3 5 NA 2 NA NA NA NA NA 3 2
"CDH5" 6 2 3 1 NA 3 2 NA 5 NA NA 1 4 NA 6 7
"CFH" 39 24 34 17 NA 5 4 NA 25 1 4 12 NA NA 5 2
"HSPA1B" 27 21 19 2 NA 13 7 NA 25 NA NA NA 9 NA 13 5
"HABP2" 15 16 16 1 NA 3 2 NA 13 NA NA 1 NA NA 8 1
"KRT17" 22 23 23 6 NA 42 33 NA 22 NA NA NA 16 NA 30 NA
"NAP1L1" 14 14 7 NA NA 9 7 NA 15 NA NA NA 7 NA 15 13
"PRDX6" 5 1 3 NA NA 5 4 NA 5 NA NA NA 2 NA 4 3
"PPIA" 12 10 11 NA NA 12 4 NA 12 NA NA NA 3 NA 7 2
"CATHL1" 3 1 3 NA NA 1 2 NA 1 NA NA NA 2 NA 5 2
"FeRMT3" 20 18 14 NA NA 4 5 NA 18 4 3 NA 5 NA 7 2
"RAC1" 6 7 8 NA NA 5 7 NA 4 NA NA NA 2 NA 4 1
"KRT10" 31 40 36 NA NA 54 44 NA 32 NA NA 11 33 11 31 NA
"MYL6" 10 5 6 NA NA 1 2 NA 7 NA NA NA 2 NA 6 4
"HA1B" 4 1 3 NA NA 2 1 NA 1 NA NA NA 1 NA NA NA
"RAB8A" 7 7 5 NA NA 7 7 NA 5 NA NA NA NA NA 3 NA
"F12" 7 3 6 NA NA 2 2 NA 3 NA NA NA 3 NA 4 NA
"CSRP1" 6 2 2 NA NA 2 4 NA 6 NA NA NA NA NA 1 NA
"NACA" 5 6 3 NA NA 4 5 NA 3 NA NA NA 2 NA 4 3
"GGH" 5 8 5 NA NA 4 3 NA 6 NA 1 NA NA NA 4 NA
"KRT71" 8 9 6 NA NA 14 11 NA 6 NA NA NA 8 NA 9 NA
"B4GALT1" 9 6 9 NA NA 4 5 NA 5 NA NA NA NA NA NA NA
"CD9" 3 9 9 NA NA 6 7 NA 6 NA NA NA 2 NA 5 NA
"RAB11B" 8 5 5 NA NA 5 6 NA 3 NA NA NA 2 NA 4 2
"RGN" 7 5 7 NA NA 2 3 NA 7 NA 2 2 2 NA 6 3
"CAPNS1" 13 15 13 NA NA 5 4 NA 10 NA NA 2 1 NA 2 5
"C7" 23 15 12 NA NA 8 8 NA 5 NA NA 1 18 NA 19 10
"HSP90AB1" 38 31 24 NA NA 36 36 NA 25 NA NA 3 14 NA 23 18
"HMGB1" 12 4 9 NA NA 7 5 NA 9 NA NA NA 7 NA 11 7
"TRAP1" 3 4 2 NA NA 3 2 NA 4 NA NA NA 3 NA NA NA
"YWHAH" NA NA 4 NA NA 7 6 NA 5 NA NA NA 5 NA 5 NA
"FTL" 3 4 4 NA NA 3 4 NA 5 NA NA NA 2 NA 5 3
"PRDX2" 5 5 3 NA NA 6 2 NA 3 NA 2 NA 4 NA NA NA
"CAP1" 8 5 7 NA NA 3 4 NA 8 1 5 NA NA NA 12 5
"ARF4" 13 14 16 NA NA 11 8 NA 12 NA 1 2 3 2 7 5
"KRT25" 9 NA 8 NA NA 7 9 NA 8 NA NA NA 10 NA 6 7
"MSN" 10 5 NA NA NA 6 5 NA 9 NA NA NA 5 NA 8 NA
"KRT27" 9 11 8 NA NA 7 9 NA 8 NA NA NA NA NA 6 7
"KRT19" 15 13 14 NA NA 36 23 NA 15 NA 3 NA 11 NA 18 8
"CATHL4" 2 1 2 NA NA 6 7 NA 1 NA NA NA 3 1 2 1
"GDI1" NA NA 7 NA NA 4 3 NA 3 NA NA NA NA 1 NA 2
"CTSD" 5 2 3 NA NA 5 1 NA 5 NA NA 1 NA 1 3 4
"GDI2" 27 30 27 NA NA 4 3 NA 8 NA NA NA NA 1 5 2
"TIMP3" 6 NA 1 NA NA 2 2 NA 3 NA NA NA NA NA NA NA
"HP252" 1 2 2 NA NA 1 1 NA 3 NA NA NA 2 NA 1 NA
"KRT72" 11 13 NA NA NA 13 18 NA 7 NA NA NA NA NA NA NA
"PPIe" 5 NA 3 NA NA 3 2 NA 4 NA NA NA 2 NA 3 NA
"PeBP1" 11 6 8 NA NA 2 2 NA 6 NA NA NA NA NA 2 NA
"DSC1" NA 3 NA NA NA 2 1 NA 2 NA NA NA NA NA NA NA
"KRT20" 2 4 NA NA NA 6 4 NA 3 NA NA NA NA NA NA NA
"CHAD" 5 4 4 6 NA NA NA NA 7 NA 2 3 NA NA NA NA
