"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"VPS28" NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SLC25A5" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"CRYZL1" NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA
"eXOC3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"GNAT1" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPS4" NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA
"TMeM134" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"NPB" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"RASA1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"CUeDC2" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"RIBC1" NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA
"RNPC3" NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"TKTL2" NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA
"RPL18A" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"UBe2D2" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"PRXL2B" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CIMAP1C" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"IMP3" NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA
"B2M" 2 NA NA NA NA NA NA NA NA NA NA 1 1 NA 1 NA
"RPS3A" NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA
"IDe" NA NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA
"GNPTG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"CFAP95" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"SNX11" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"ACP3" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"IGF1" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SCARB1" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"GOT2" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"TPPP" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"ACAN" NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA
"SAMD5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"H3CL" NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA
"RAB15" NA NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA
"FND11" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"OXR1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"PPP2CA" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"MDH2" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"SORD" 2 NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"eeF1B" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BL3" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"MIA3" NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA
"KLC3" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPS9" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"MRTO4" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BTBD19" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"FAM124B" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"TNS4" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"CA141" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPL11" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"STK38" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"BTBD16" NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"VWF" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"CTSB" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"RABeP2" NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"QPCT" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H2AZ1" NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA
"DNTTIP1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"AMDHD1" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"PSMA3" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"OCC1" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"TIMM10B" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"ACO2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"SLC25A6" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"GTF2B" NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA
"RUNDC3A" NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA
"SLC25A4" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"TGM2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12 NA
"JAKMIP1" NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA
"LYPLA1" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"A5PK26" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"PKP3" NA NA NA NA NA 7 NA NA NA NA NA NA NA NA NA NA
"eNTPD1" NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA
"MAPK1" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NMI" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"eTV1" NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA
"K2CA" NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA
"FANCD2OS" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA
"ST6GAL2" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"CALM" NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"TRPC4" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"ARPC1A" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"KRT14" NA NA NA NA NA NA NA NA 7 NA NA NA NA NA NA NA
"H1-1" NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"CALD1" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"LASP1" NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
"RPLP2" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"IBPS" NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"ARPC3" NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"FRZB" NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
"YBX1" NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"MCTS1" NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"RGS10" NA NA NA NA NA NA NA NA 11 NA NA NA NA NA NA NA
"TAGLN" NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"PIN1" NA NA NA NA NA NA NA NA 5 NA NA NA NA NA NA NA
"eIF2S2" NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
"LTA4H" NA NA NA NA NA NA NA NA 5 NA NA NA NA NA NA NA
"WARS1" NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"DNAJB1" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"STIP1" NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
