"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"SeRPINC1" 0 0 98 79 73 107 34 33 77 50 45 69 43 63 88 45 30 84 21 27 86 16 23 33 28 0 0 0 124 57 65 103 68 64 0 0 84 34 81 97 76 74 75 44 42 64 52 45 63 33 33 39 0 0 133 41 32 140 36 54 59 78 64 36 42 42 19 80 86
"CFB" 0 0 79 61 74 89 20 16 47 37 41 35 39 76 106 38 6 57 12 19 76 5 14 17 16 0 0 0 102 65 65 101 56 61 0 0 81 23 80 89 73 75 55 31 34 43 48 40 57 35 39 35 0 0 105 32 23 113 25 48 29 47 44 19 38 33 4 71 78
"CLeC3B" 0 0 5 12 12 7 15 17 15 17 23 9 8 10 14 11 10 8 5 4 9 4 5 1 4 0 0 0 6 10 8 6 13 15 0 0 6 6 14 6 10 15 17 13 15 10 17 14 4 13 6 12 0 0 9 17 11 8 13 19 9 12 17 7 19 14 7 12 14
"SeRPINA7" 0 0 34 48 34 34 7 2 34 16 21 22 13 30 61 21 2 33 4 8 44 6 7 20 7 0 0 0 38 28 31 26 22 32 0 0 40 16 42 35 34 42 27 18 16 25 20 13 38 13 13 14 0 0 56 16 14 47 12 15 23 32 29 10 16 8 7 37 38
"AMBP" 0 0 24 24 29 24 7 5 14 16 22 12 8 25 36 19 2 18 9 11 15 7 8 2 9 0 0 0 27 21 24 26 22 25 0 0 19 14 29 23 28 30 21 22 17 15 19 24 9 12 15 16 0 0 37 14 7 33 14 21 13 13 15 5 13 15 10 30 28
"THBS1" 0 0 36 35 35 40 18 6 17 24 29 16 17 42 55 20 6 17 16 14 33 6 9 1 6 0 0 0 40 34 45 35 31 39 0 0 40 12 38 44 42 45 28 29 26 33 24 17 27 18 18 23 0 0 56 12 20 51 16 25 15 24 21 8 23 17 8 45 49
"AFM" 0 0 43 39 39 45 6 2 46 14 23 27 5 28 36 14 0 45 5 3 36 5 5 8 6 0 0 0 59 27 37 53 34 39 0 0 40 14 52 40 34 56 44 23 16 29 28 24 26 14 16 14 0 0 62 14 11 65 12 23 24 25 17 10 16 12 4 50 59
"ADIPOQ" 0 0 17 21 15 18 7 4 13 14 14 16 8 19 14 14 5 17 7 4 8 6 6 0 5 0 0 0 16 20 17 15 17 20 0 0 16 7 13 18 20 18 14 13 12 14 14 12 9 11 9 8 0 0 28 11 7 20 11 12 13 19 22 5 14 12 5 22 17
"CLU" 0 0 13 43 30 9 6 3 24 15 17 25 8 33 36 13 0 21 6 5 16 4 8 0 5 0 0 0 19 26 34 9 23 29 0 0 13 6 29 13 24 34 18 18 16 29 22 16 31 15 14 19 0 0 28 16 5 20 8 17 11 22 23 4 21 8 2 33 32
"KRT75" 0 0 10 25 16 16 28 18 28 27 27 12 14 10 39 14 16 33 32 32 31 20 27 12 29 8 0 0 13 32 16 0 25 28 0 0 8 94 26 14 17 15 31 36 43 26 26 19 23 26 21 28 0 0 16 20 26 24 13 32 139 21 22 18 18 22 22 18 16
