"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Evs_Pt_Control_2" "Evs_Pt_Control_2" "Evs_Pt_Control_2" "Yes" "NO" "NO" "NO" "NO" "Yes" "Yes" 2 "5min" "Pt" "Pt_Evs_Yes_5min" "white" "blue" "Pt_Evs_Yes" -41.0339096849457 -19.0384762465799 5.12326886289102 7.66759957890338 -0.246199433341581 1.46924592173509 21
"Evs_Pt_Control_3" "Evs_Pt_Control_3" "Evs_Pt_Control_3" "Yes" "NO" "NO" "NO" "NO" "Yes" "Yes" 3 "5min" "Pt" "Pt_Evs_Yes_5min" "white" "blue" "Pt_Evs_Yes" -40.3565718120504 -19.1008113265046 5.16593073507723 7.99604369599087 -0.624507452777991 1.96353551834546 21
"Evs_Pt_4h_1" "Evs_Pt_4h_1" "Evs_Pt_4h_1" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "4h" "Pt" "Pt_Evs_Yes_4h" "white" "blue" "Pt_Evs_Yes" -5.10144417037449 17.9052470255998 2.93884534842567 -2.2175411922181 1.95395176234045 -0.515092568749657 22
"Evs_Pt_4h_2" "Evs_Pt_4h_2" "Evs_Pt_4h_2" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "4h" "Pt" "Pt_Evs_Yes_4h" "white" "blue" "Pt_Evs_Yes" -10.7108975145338 2.34702761992502 -14.3652335947736 2.34038154770014 5.77845227537818 2.59791116948347 22
"Evs_Pt_4h_3" "Evs_Pt_4h_3" "Evs_Pt_4h_3" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "4h" "Pt" "Pt_Evs_Yes_4h" "white" "blue" "Pt_Evs_Yes" -15.8047055053239 -1.82688519328472 -6.24902280666099 -2.68065929027354 19.0646133509888 0.340756195394728 22
"Evs_Pt_24h_1" "Evs_Pt_24h_1" "Evs_Pt_24h_1" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "24h" "Pt" "Pt_Evs_Yes_24h" "white" "blue" "Pt_Evs_Yes" -6.66285136356249 16.5085326111096 2.40340541853283 -1.61066773119712 2.85856839552265 0.159825523721385 24
"Evs_Pt_24h_2" "Evs_Pt_24h_2" "Evs_Pt_24h_2" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "24h" "Pt" "Pt_Evs_Yes_24h" "white" "blue" "Pt_Evs_Yes" -12.3018857115868 -0.845704125769195 -5.8660095819215 -1.0027288378257 22.3311304686194 -0.257240526070832 24
"Evs_Pt_24h_3" "Evs_Pt_24h_3" "Evs_Pt_24h_3" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "24h" "Pt" "Pt_Evs_Yes_24h" "white" "blue" "Pt_Evs_Yes" -11.7181499626357 0.855163839232741 -12.8777936470297 1.46938957561063 8.01629048095211 4.30049421178905 24
"Pt_5min_1" "Pt_5_min_1" "Pt_5min_1" "NO" "NO" "NO" "NO" "NO" "Yes" "Yes" 1 "5min" "Pt" "Pt_Evs_NO_5min" "blue" "blue" "Pt_Evs_NO" 17.2506983385591 -5.36918271294685 0.888164697372824 -1.33634909277351 -7.01554736320107 0.236825090870068 21
"Pt_5min_2" "Pt_5_min_2" "Pt_5min_2" "NO" "NO" "NO" "NO" "NO" "Yes" "Yes" 2 "5min" "Pt" "Pt_Evs_NO_5min" "blue" "blue" "Pt_Evs_NO" 19.1038502558798 -1.35231842244032 4.5685613482277 6.3140224292132 1.60853025796608 -2.29567703064723 21
"Pt_5min_3" "Pt_5_min_3" "Pt_5min_3" "NO" "NO" "NO" "NO" "NO" "Yes" "Yes" 3 "5min" "Pt" "Pt_Evs_NO_5min" "blue" "blue" "Pt_Evs_NO" 18.5706126007566 -2.29817802612968 2.9726333139512 5.7821660303926 2.39227448185911 -1.37007635835162 21
"Pt_4h_1" "Pt_4h_1" "Pt_4h_1" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "4h" "Pt" "Pt_Evs_NO_4h" "blue" "blue" "Pt_Evs_NO" 11.2333944237617 -2.47968860035555 2.60415425980056 -0.717917018678362 1.69330607687413 -7.69952803023573 22
"Pt_4h_2" "Pt_4h_2" "Pt_4h_2" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "4h" "Pt" "Pt_Evs_NO_4h" "blue" "blue" "Pt_Evs_NO" 18.3145442331837 -5.80867415683379 -0.928253253511694 1.87258251081255 2.36085112314549 1.51857412877154 22
"Pt_4h_3" "Pt_4h_3" "Pt_4h_3" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "4h" "Pt" "Pt_Evs_NO_4h" "blue" "blue" "Pt_Evs_NO" 16.80457224772 -7.62084564364383 -3.83704503165764 1.7735660702418 3.30936938347114 -2.25636130561246 22
"Pt_24h_1" "Pt_24h_1" "Pt_24h_1" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "24h" "Pt" "Pt_Evs_NO_24h" "blue" "blue" "Pt_Evs_NO" 9.50242175789887 -7.7515607567553 1.88343282678916 -3.37121716000746 0.92749746432862 -7.96996023443834 24
"Pt_24h_2" "Pt_24h_2" "Pt_24h_2" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "24h" "Pt" "Pt_Evs_NO_24h" "blue" "blue" "Pt_Evs_NO" 19.0512276009178 4.58195166027763 8.42157916909977 9.46378951213064 -0.622568361996595 0.0111473144004893 24
"Pt_24h_3" "Pt_24h_3" "Pt_24h_3" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "24h" "Pt" "Pt_Evs_NO_24h" "blue" "blue" "Pt_Evs_NO" 19.5173641368097 4.70839643441401 8.03834610296572 9.01585587712206 -1.61756170409586 -0.151540321521676 24
