"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "Fill_short" "Color_short" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6"
"Evs_Control_2" "Evs_Control_2" "Evs_Control_2" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" 2 "5min" "No_particle" "No_particle_Evs_Yes_5min" "white" "orchid4" "No_particle_Evs_Yes" "white" "gold4" -44.1073350144126 -16.3908859663126 5.71818914938183 5.92110366608532 -0.45956443946229 -1.30419479913301
"Evs_Control_3" "Evs_Control_3" "Evs_Control_3" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" 3 "5min" "No_particle" "No_particle_Evs_Yes_5min" "white" "orchid4" "No_particle_Evs_Yes" "white" "gold4" -44.488621659774 -14.3055736631599 6.36816759099549 2.83068782875384 -1.10233039599895 -0.951196487583523
"Evs_4h_1" "Evs_4h_1" "Evs_4h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 1 "4h" "No_particle" "No_particle_Evs_Yes_4h" "white" "orchid4" "No_particle_Evs_Yes" "white" "darkmagenta" -4.78523464326243 19.5103957416008 5.3281653827174 -4.10740741080938 1.2631595113106 2.78677676900532
"Evs_4h_2" "Evs_4h_2" "Evs_4h_2" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 2 "4h" "No_particle" "No_particle_Evs_Yes_4h" "white" "orchid4" "No_particle_Evs_Yes" "white" "darkmagenta" -11.4169603748867 14.3694875803589 -5.87674283059677 -1.47020924058692 8.90241258204491 -2.23095519356957
"Evs_4h_3" "Evs_4h_3" "Evs_4h_3" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 3 "4h" "No_particle" "No_particle_Evs_Yes_4h" "white" "orchid4" "No_particle_Evs_Yes" "white" "darkmagenta" -7.76191014783711 18.313578291045 0.205150009668304 -2.27990400755077 5.14380986695305 -0.357357702092704
"Evs_24h_1" "Evs_24h_1" "Evs_24h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 1 "24h" "No_particle" "No_particle_Evs_Yes_24h" "white" "orchid4" "No_particle_Evs_Yes" "white" "turquoise4" -4.6202871792815 20.0412410200175 6.56430038386019 -5.3076731157154 0.435121442455369 2.089619133033
"Evs_24h_2" "Evs_24h_2" "Evs_24h_2" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 2 "24h" "No_particle" "No_particle_Evs_Yes_24h" "white" "orchid4" "No_particle_Evs_Yes" "white" "turquoise4" -11.1433146538127 11.5973321929682 -7.76277062485883 2.00959110240757 5.10504467329831 -2.29614722209051
"Evs_24h_3" "Evs_24h_3" "Evs_24h_3" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 3 "24h" "No_particle" "No_particle_Evs_Yes_24h" "white" "orchid4" "No_particle_Evs_Yes" "white" "turquoise4" -11.1988765897083 14.010864866938 -5.7282379471118 -0.215746578243149 6.8285483796179 -2.2957576982325
"Evs_Pd_Control_2" "Evs_Pd_Control_2" "Evs_Pd_Control_2" "Yes" "NO" "NO" "NO" "Yes" "NO" "Yes" 2 "5min" "Pd" "Pd_Evs_Yes_5min" "white" "darkorange1" "Pd_Evs_Yes" "white" "orange" -44.8705597699023 -5.9840258384017 8.75926235648131 -9.27049515883916 -1.77478186511421 -0.663356955937375
"Evs_Pd_Control_3" "Evs_Pd_Control_3" "Evs_Pd_Control_3" "Yes" "NO" "NO" "NO" "Yes" "NO" "Yes" 3 "5min" "Pd" "Pd_Evs_Yes_5min" "white" "darkorange1" "Pd_Evs_Yes" "white" "orange" -45.2723725998357 -6.08309372183453 7.91722016357868 -8.60989184809483 -2.19554384386632 -0.522984362354876
"Evs_Pd_4h_1" "Evs_Pd_4h_1" "Evs_Pd_4h_1" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "4h" "Pd" "Pd_Evs_Yes_4h" "white" "darkorange1" "Pd_Evs_Yes" "white" "brown" -5.4174284106431 18.7696354406083 2.47621091021041 -2.99440913705461 -1.82632523314314 2.0283606774486
"Evs_Pd_4h_2" "Evs_pd_4h_2" "Evs_Pd_4h_2" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "4h" "Pd" "Pd_Evs_Yes_4h" "white" "darkorange1" "Pd_Evs_Yes" "white" "brown" -21.8616764886402 2.31242969657539 -5.50752109648138 -3.5370869882598 14.353726691179 1.66271477511943
"Evs_Pd_4h_3" "Evs_Pd_4h_3" "Evs_Pd_4h_3" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "4h" "Pd" "Pd_Evs_Yes_4h" "white" "darkorange1" "Pd_Evs_Yes" "white" "brown" -7.43744901922055 16.0925583243506 -3.26523483097071 -2.10049842062496 3.04836150783501 -2.26972685424455
"Evs_Pd_24h_1" "Evs_Pd_24h_1" "Evs_Pd_24h_1" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "24h" "Pd" "Pd_Evs_Yes_24h" "white" "darkorange1" "Pd_Evs_Yes" "white" "cadetblue" -5.14730435441989 17.2202454277602 1.69650650128011 -2.62279106612724 -2.2459131491995 1.56096401748208
"Evs_Pd_24h_2" "Evs_Pd_24h_2" "Evs_Pd_24h_2" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "24h" "Pd" "Pd_Evs_Yes_24h" "white" "darkorange1" "Pd_Evs_Yes" "white" "cadetblue" -6.2693292527424 16.2414135682787 -2.67116561494182 -1.11908523566348 -0.19326049454365 -0.698367312386586
"Evs_Pd_24h_3" "Evs_Pd_24h_3" "Evs_Pd_24h_3" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "24h" "Pd" "Pd_Evs_Yes_24h" "white" "darkorange1" "Pd_Evs_Yes" "white" "cadetblue" -6.7598877900889 16.1141577671962 -1.96401363015185 -2.00472083646324 -1.51621186179138 -3.15187319322912
"Pd_5min_1" "Pd_5_min_1" "Pd_5min_1" "NO" "NO" "NO" "NO" "Yes" "NO" "Yes" 1 "5min" "Pd" "Pd_Evs_NO_5min" "yellow" "yellow" "Pd_Evs_NO" "chartreuse" "chartreuse" 18.8255070405488 -2.40709870475044 4.51495096560156 1.79143604375084 -1.8479612149406 -3.12658604385818
"Pd_5min_2" "Pd_5_min_2" "Pd_5min_2" "NO" "NO" "NO" "NO" "Yes" "NO" "Yes" 2 "5min" "Pd" "Pd_Evs_NO_5min" "yellow" "yellow" "Pd_Evs_NO" "chartreuse" "chartreuse" 17.9766616329574 -7.63686233489018 0.302958920058258 -4.54064824244185 -0.84424566909624 -6.52632153910672
"Pd_5min_3" "Pd_5_min_3" "Pd_5min_3" "NO" "NO" "NO" "NO" "Yes" "NO" "Yes" 3 "5min" "Pd" "Pd_Evs_NO_5min" "yellow" "yellow" "Pd_Evs_NO" "chartreuse" "chartreuse" 19.2688128681148 -8.51481159706527 0.01605540640086 -3.52260011114594 1.88960078635713 -10.0265419624757
"Pd_4h_1" "Pd_4h_1" "Pd_4h_1" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "4h" "Pd" "Pd_Evs_NO_4h" "yellow" "yellow" "Pd_Evs_NO" "chocolate" "chocolate" 17.3584974119922 -1.82323594496146 5.67867513381515 1.33641028782205 -1.55522361644195 -4.39328158024145
"Pd_4h_2" "Pd_4h_2" "Pd_4h_2" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "4h" "Pd" "Pd_Evs_NO_4h" "yellow" "yellow" "Pd_Evs_NO" "chocolate" "chocolate" 19.2407405051094 -7.00262958067153 0.280782594961205 -2.23822576332934 -1.36909719486621 -7.96771962303964
"Pd_4h_3" "Pd_4h_3" "Pd_4h_3" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "4h" "Pd" "Pd_Evs_NO_4h" "yellow" "yellow" "Pd_Evs_NO" "chocolate" "chocolate" 18.215984581558 -6.44551763609779 0.290991604017642 -1.29351900979064 -1.16553292669924 -8.96211147313413
"Pd_24h_1" "Pd_24h_1" "Pd_24h_1" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "24h" "Pd" "Pd_Evs_NO_24h" "yellow" "yellow" "Pd_Evs_NO" "cornflowerblue" "cornflowerblue" 17.3037193361636 0.650016012617614 6.9515187803734 2.50065363450442 1.74918796724777 -4.34293227713709
"Pd_24h_2" "Pd_24h_2" "Pd_24h_2" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "24h" "Pd" "Pd_Evs_NO_24h" "yellow" "yellow" "Pd_Evs_NO" "cornflowerblue" "cornflowerblue" 16.8118967415267 -9.55497750831519 -2.04290828514128 -5.29393211159906 1.56060280777544 -7.31559353116447
"Pd_24h_3" "Pd_24h_3" "Pd_24h_3" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "24h" "Pd" "Pd_Evs_NO_24h" "yellow" "yellow" "Pd_Evs_NO" "cornflowerblue" "cornflowerblue" 15.9123269672507 -7.44124361854839 -0.680003480571408 -3.32232013627898 -0.0986089837033885 -8.62584716263765
